#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1685517437,523194,168092452,140.30.20.1,15,2261,168076944,168076968,0,0,140.30.20.5,152.148.48.6,140.30.20.2,1224,1224,22,49796,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,15,1642,168076944,168076968,0,0,152.148.48.6,140.30.20.5,0.0.0.0,1224,1224,49796,22,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,15,1642,168076944,168076968,0,0,152.148.48.6,140.30.20.9,0.0.0.0,1224,1224,47454,22,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,15,2261,168076944,168076968,0,0,140.30.20.9,152.148.48.6,140.30.20.2,1224,1224,22,47454,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,16,1694,168077096,168077136,0,0,152.148.48.4,140.30.20.5,0.0.0.0,1224,1224,34584,22,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,15,1642,168077100,168077132,0,0,152.148.48.4,140.30.20.7,0.0.0.0,1224,1224,57330,22,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,14,2209,168077096,168077136,0,0,140.30.20.5,152.148.48.4,140.30.20.2,1224,1224,22,34584,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,15,2261,168077100,168077132,0,0,140.30.20.7,152.148.48.4,140.30.20.2,1224,1224,22,57330,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,186,168077204,168077204,0,0,152.148.48.6,140.30.20.5,0.0.0.0,1224,1224,49822,22,6,0,26,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,164,168077204,168077204,0,0,140.30.20.5,152.148.48.6,140.30.20.2,1224,1224,22,49824,6,0,22,0,0,0,0
1685517437,523194,168092452,140.30.20.1,2,176,168076944,168077140,0,0,140.30.20.3,140.30.20.9,0.0.0.0,65535,1224,0,1281,1,192,0,0,0,0,0
1685517437,523194,168092452,140.30.20.1,14,2209,168077140,168077168,0,0,140.30.20.9,152.148.48.5,140.30.20.2,1224,1224,22,43778,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,186,168077204,168077204,0,0,152.148.48.6,140.30.20.5,0.0.0.0,1224,1224,49832,22,6,0,26,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,164,168077204,168077204,0,0,140.30.20.5,152.148.48.6,140.30.20.2,1224,1224,22,49832,6,0,22,0,0,0,0
1685517437,523194,168092452,140.30.20.1,5,440,168076944,168077188,0,0,140.30.20.3,140.30.20.5,0.0.0.0,65535,1224,0,1281,1,192,0,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,164,168077204,168077204,0,0,140.30.20.5,152.148.48.6,140.30.20.2,1224,1224,22,49822,6,0,22,0,0,0,0
1685517437,523194,168092452,140.30.20.1,16,1694,168077128,168077152,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44538,22,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,14,2209,168077128,168077152,0,0,140.30.20.7,152.148.48.5,140.30.20.2,1224,1224,22,44538,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,186,168077204,168077204,0,0,152.148.48.6,140.30.20.5,0.0.0.0,1224,1224,49824,22,6,0,26,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,186,168077204,168077204,0,0,152.148.48.6,140.30.20.5,0.0.0.0,1224,1224,49826,22,6,0,26,0,0,0,0
1685517437,523194,168092452,140.30.20.1,16,1694,168077140,168077168,0,0,152.148.48.5,140.30.20.9,0.0.0.0,1224,1224,43778,22,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,16,1694,168077140,168077172,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44540,22,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,13,2157,168077140,168077172,0,0,140.30.20.7,152.148.48.5,140.30.20.2,1224,1224,22,44540,6,0,27,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,164,168077204,168077204,0,0,140.30.20.5,152.148.48.6,140.30.20.2,1224,1224,22,49826,6,0,22,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,164,168077356,168077356,0,0,140.30.20.5,152.148.48.4,140.30.20.2,1224,1224,22,34592,6,0,22,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,164,168077404,168077424,0,0,140.30.20.7,152.148.48.5,140.30.20.2,1224,1224,22,44582,6,0,22,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,164,168077372,168077380,0,0,140.30.20.7,152.148.48.5,140.30.20.2,1224,1224,22,44568,6,0,22,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,164,168077400,168077424,0,0,140.30.20.7,152.148.48.5,140.30.20.2,1224,1224,22,44580,6,0,22,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,164,168077420,168077420,0,0,140.30.20.9,152.148.48.5,140.30.20.2,1224,1224,22,43790,6,0,22,0,0,0,0
1685517437,523194,168092452,140.30.20.1,3,186,168077420,168077420,0,0,152.148.48.5,140.30.20.9,0.0.0.0,1224,1224,43802,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077420,168077420,0,0,152.148.48.5,140.30.20.9,0.0.0.0,1224,1224,43786,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077408,168077408,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44596,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,164,168077412,168077424,0,0,140.30.20.7,152.148.48.5,140.30.20.2,1224,1224,22,44604,6,0,22,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077368,168077368,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44556,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077420,168077420,0,0,152.148.48.5,140.30.20.9,0.0.0.0,1224,1224,43796,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077412,168077412,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44608,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,164,168077436,168077444,0,0,140.30.20.7,152.148.48.5,140.30.20.2,1224,1224,22,44616,6,0,22,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,164,168077404,168077424,0,0,140.30.20.7,152.148.48.5,140.30.20.2,1224,1224,22,44588,6,0,22,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077400,168077400,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44580,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077420,168077420,0,0,152.148.48.5,140.30.20.9,0.0.0.0,1224,1224,43790,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,164,168077356,168077360,0,0,140.30.20.5,152.148.48.4,140.30.20.2,1224,1224,22,34618,6,0,22,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077404,168077404,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44588,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,164,168077368,168077372,0,0,140.30.20.7,152.148.48.5,140.30.20.2,1224,1224,22,44544,6,0,22,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077384,168077384,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44572,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,164,168077364,168077368,0,0,140.30.20.7,152.148.48.4,140.30.20.2,1224,1224,22,57352,6,0,22,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077420,168077420,0,0,152.148.48.5,140.30.20.9,0.0.0.0,1224,1224,43804,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077368,168077368,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44544,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077372,168077372,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44564,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,164,168077420,168077424,0,0,140.30.20.9,152.148.48.5,140.30.20.2,1224,1224,22,43796,6,0,22,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077408,168077408,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44594,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077412,168077412,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44612,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077412,168077412,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44604,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077412,168077412,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44614,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,164,168077372,168077380,0,0,140.30.20.7,152.148.48.5,140.30.20.2,1224,1224,22,44564,6,0,22,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,164,168077420,168077420,0,0,140.30.20.9,152.148.48.5,140.30.20.2,1224,1224,22,43786,6,0,22,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,164,168077356,168077360,0,0,140.30.20.5,152.148.48.4,140.30.20.2,1224,1224,22,34610,6,0,22,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077368,168077368,0,0,152.148.48.4,140.30.20.7,0.0.0.0,1224,1224,57358,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,164,168077420,168077424,0,0,140.30.20.9,152.148.48.5,140.30.20.2,1224,1224,22,43802,6,0,22,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077404,168077404,0,0,152.148.48.5,140.30.20.7,0.0.0.0,1224,1224,44586,22,6,0,26,0,0,0,0
1685517437,523305,168092452,140.30.20.1,3,186,168077356,168077356,0,0,152.148.48.4,140.30.20.5,0.0.0.0,1224,1224,34618,22,6,0,26,0,0,0,0
