#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1685605012,942894,255667872,152.148.48.1,1,75,255650852,255650852,0,0,152.148.48.7,80.58.61.254,152.148.48.2,1334,1334,43719,53,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,223,255650872,255650872,0,0,80.58.61.254,140.30.20.2,152.148.48.2,1334,1334,264,43719,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,223,255651040,255651040,0,0,80.58.61.254,140.30.20.2,152.148.48.2,1334,1334,216,42728,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,223,255651000,255651000,0,0,80.58.61.254,140.30.20.2,152.148.48.2,1334,1334,23,58675,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,75,255650980,255650980,0,0,152.148.48.6,80.58.61.254,152.148.48.2,1334,1334,58675,53,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,75,255650988,255650988,0,0,152.148.48.5,80.58.61.254,152.148.48.2,1334,1334,42728,53,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,44,255651112,255651112,0,0,35.80.204.6,140.30.20.2,152.148.48.2,1334,1334,443,42810,6,0,18,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,44,255651284,255651284,0,0,52.41.210.232,140.30.20.2,152.148.48.2,1334,1334,443,49832,6,0,18,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,44,255651232,255651232,0,0,35.163.22.86,140.30.20.2,152.148.48.2,1334,1334,443,37392,6,0,18,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,168,255651716,255651716,0,0,80.58.61.254,140.30.20.2,152.148.48.2,1334,1334,383,43112,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,63,255651700,255651700,0,0,152.148.48.7,80.58.61.254,152.148.48.2,1334,1334,43112,53,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,63,255651712,255651712,0,0,152.148.48.6,80.58.61.254,152.148.48.2,1334,1334,60934,53,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,63,255651704,255651704,0,0,152.148.48.5,80.58.61.254,152.148.48.2,1334,1334,45841,53,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,44,255651736,255651736,0,0,192.229.221.95,140.30.20.2,152.148.48.2,1334,1334,80,41776,6,0,18,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,44,255651748,255651748,0,0,192.229.221.95,140.30.20.2,152.148.48.2,1334,1334,80,55328,6,0,18,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,168,255651724,255651724,0,0,80.58.61.254,140.30.20.2,152.148.48.2,1334,1334,307,45841,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,63,255651724,255651724,0,0,152.148.48.5,80.58.61.254,152.148.48.2,1334,1334,41744,53,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,44,255651760,255651760,0,0,192.229.221.95,140.30.20.2,152.148.48.2,1334,1334,80,51092,6,0,18,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,168,255651744,255651744,0,0,80.58.61.254,140.30.20.2,152.148.48.2,1334,1334,334,41744,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,168,255651728,255651728,0,0,80.58.61.254,140.30.20.2,152.148.48.2,1334,1334,321,60934,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,157,255652296,255652296,0,0,80.58.61.254,140.30.20.2,152.148.48.2,1334,1334,160,50488,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,73,255652252,255652252,0,0,152.148.48.7,80.58.61.254,152.148.48.2,1334,1334,50488,53,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,73,255652404,255652404,0,0,152.148.48.5,80.58.61.254,152.148.48.2,1334,1334,48879,53,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,157,255652420,255652420,0,0,80.58.61.254,140.30.20.2,152.148.48.2,1334,1334,419,48879,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,44,255652532,255652532,0,0,44.227.219.172,140.30.20.2,152.148.48.2,1334,1334,443,47704,6,0,18,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,157,255652512,255652512,0,0,80.58.61.254,140.30.20.2,152.148.48.2,1334,1334,18,46987,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,73,255652492,255652492,0,0,152.148.48.6,80.58.61.254,152.148.48.2,1334,1334,46987,53,17,0,0,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,44,255652756,255652756,0,0,44.227.219.172,140.30.20.2,152.148.48.2,1334,1334,443,58718,6,0,18,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,44,255652664,255652664,0,0,44.225.227.241,140.30.20.2,152.148.48.2,1334,1334,443,46656,6,0,18,0,0,0,0
1685605012,942894,255667872,152.148.48.1,1,44,255652812,255652812,0,0,192.229.221.95,140.30.20.2,152.148.48.2,1334,1334,80,41778,6,0,18,0,0,0,0
1685605013,462398,255668392,152.148.48.1,1,168,255652792,255652792,0,0,80.58.61.254,140.30.20.2,152.148.48.2,1334,1334,454,40666,17,0,0,0,0,0,0
1685605013,462398,255668392,152.148.48.1,1,63,255652776,255652776,0,0,152.148.48.7,80.58.61.254,152.148.48.2,1334,1334,40666,53,17,0,0,0,0,0,0
1685605013,462398,255668392,152.148.48.1,1,161,255652956,255652956,0,0,80.58.61.254,140.30.20.2,152.148.48.2,1334,1334,506,58523,17,0,0,0,0,0,0
1685605013,462398,255668392,152.148.48.1,1,161,255652916,255652916,0,0,80.58.61.254,140.30.20.2,152.148.48.2,1334,1334,59,46475,17,0,0,0,0,0,0
1685605013,462398,255668392,152.148.48.1,1,83,255652892,255652892,0,0,152.148.48.7,80.58.61.254,152.148.48.2,1334,1334,37701,53,17,0,0,0,0,0,0
1685605013,462398,255668392,152.148.48.1,1,83,255652900,255652900,0,0,152.148.48.5,80.58.61.254,152.148.48.2,1334,1334,46475,53,17,0,0,0,0,0,0
1685605013,462398,255668392,152.148.48.1,1,83,255652936,255652936,0,0,152.148.48.6,80.58.61.254,152.148.48.2,1334,1334,58523,53,17,0,0,0,0,0,0
1685605013,462398,255668392,152.148.48.1,1,44,255652932,255652932,0,0,34.149.100.209,140.30.20.2,152.148.48.2,1334,1334,443,38796,6,0,18,0,0,0,0
1685605013,462398,255668392,152.148.48.1,1,44,255652936,255652936,0,0,34.149.100.209,140.30.20.2,152.148.48.2,1334,1334,443,37452,6,0,18,0,0,0,0
